 TITLE="parade results"
 VARIABLES="wavl","emis","absco"
 ZONE I=        4000, F=POINT
      887.705        3.268166E+13     29.7904
      887.927        3.280264E+13     29.8127
      888.149        3.292407E+13     29.8351
      888.371        3.304595E+13     29.8574
      888.593        3.316825E+13     29.8798
      888.815        3.329101E+13     29.9022
      889.037        3.341421E+13     29.9247
      889.260        3.353788E+13     29.9471
      889.482        3.366201E+13     29.9696
      889.705        3.378660E+13     29.9921
      889.928        3.391161E+13     30.0147
      890.151        3.403710E+13     30.0372
      890.373        3.416304E+13     30.0598
      890.597        3.428946E+13     30.0824
      890.820        3.441634E+13     30.1050
      891.043        3.454370E+13     30.1277
      891.266        3.467149E+13     30.1503
      891.490        3.479976E+13     30.1730
      891.714        3.492851E+13     30.1957
      891.937        3.505773E+13     30.2185
      892.161        3.518743E+13     30.2412
      892.385        3.531761E+13     30.2640
      892.609        3.544824E+13     30.2868
      892.833        3.557935E+13     30.3096
      893.058        3.571095E+13     30.3325
      893.282        3.584304E+13     30.3554
      893.507        3.597561E+13     30.3783
      893.731        3.610868E+13     30.4012
      893.956        3.624224E+13     30.4242
      894.181        3.637625E+13     30.4471
      894.406        3.651076E+13     30.4701
      894.631        3.664578E+13     30.4931
      894.856        3.678129E+13     30.5161
      895.082        3.691731E+13     30.5392
      895.307        3.705383E+13     30.5623
      895.533        3.719084E+13     30.5854
      895.758        3.732834E+13     30.6085
      895.984        3.746634E+13     30.6316
      896.210        3.760485E+13     30.6548
      896.436        3.774388E+13     30.6780
      896.662        3.788342E+13     30.7013
      896.888        3.802347E+13     30.7245
      897.115        3.816404E+13     30.7477
      897.341        3.830509E+13     30.7711
      897.568        3.844667E+13     30.7944
      897.795        3.858877E+13     30.8177
      898.021        3.873139E+13     30.8411
      898.248        3.887454E+13     30.8645
      898.475        3.901822E+13     30.8879
      898.703        3.916243E+13     30.9113
      898.930        3.930717E+13     30.9348
      899.157        3.945240E+13     30.9582
      899.385        3.959818E+13     30.9817
      899.612        3.974449E+13     31.0053
      899.840        3.989134E+13     31.0288
      900.068        4.003873E+13     31.0524
      900.296        4.018667E+13     31.0760
      900.524        4.033515E+13     31.0996
