y rho t u v xe xN xO xN2 xNO xO2 xN2p xNOp xNp xO2p xOp
97  
 1.293899E-01 1.970190E-02 3.522379E+02 1.083381E+00 -5.689545E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.277436E-01 1.970169E-02 3.522417E+02 1.077053E+00 -5.711504E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.260973E-01 1.970124E-02 3.522497E+02 1.070452E+00 -5.741526E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.244510E-01 1.970044E-02 3.522640E+02 1.063523E+00 -5.773860E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.228046E-01 1.969964E-02 3.522783E+02 1.056594E+00 -5.806194E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.211583E-01 1.969855E-02 3.522979E+02 1.050163E+00 -5.837908E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.195120E-01 1.969548E-02 3.523528E+02 1.047362E+00 -5.864230E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.178657E-01 1.969240E-02 3.524078E+02 1.044584E+00 -5.890610E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.162194E-01 1.968928E-02 3.524637E+02 1.041813E+00 -5.914986E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.145731E-01 1.967767E-02 3.526720E+02 1.055951E+00 -5.947547E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.129267E-01 1.966604E-02 3.528804E+02 1.070049E+00 -5.982406E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.112804E-01 1.965415E-02 3.530937E+02 1.084791E+00 -6.013349E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.096341E-01 1.961176E-02 3.538602E+02 1.196419E+00 -5.993434E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.079878E-01 1.956910E-02 3.546314E+02 1.309786E+00 -5.973712E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.063415E-01 1.951875E-02 3.555467E+02 1.454471E+00 -5.935470E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.046952E-01 1.936967E-02 3.583195E+02 2.037825E+00 -5.659350E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.030488E-01 1.922142E-02 3.610757E+02 2.620288E+00 -5.390006E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 0.000000E+00 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 1.014025E-01 1.899399E-02 3.655077E+02 3.740598E+00 -4.909989E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 9.108504E-14 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 9.975622E-02 1.853142E-02 3.749204E+02 6.479764E+00 -3.825080E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 4.570112E-13 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 9.810990E-02 1.806826E-02 3.843507E+02 9.216156E+00 -2.742210E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 8.221378E-13 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 9.646358E-02 1.727831E-02 4.036439E+02 1.585124E+01 -2.885533E-02 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 2.408834E-11 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 9.481727E-02 1.617718E-02 4.324261E+02 2.613764E+01 3.470111E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 7.147914E-11 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 9.317095E-02 1.507639E-02 4.611599E+02 3.644411E+01 7.227436E-01 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 1.179301E-10 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 9.152464E-02 1.335450E-02 5.338325E+02 6.052250E+01 1.387333E+00 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 4.146046E-08 2.100000E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 8.987832E-02 1.152966E-02 6.154297E+02 8.678155E+01 2.103099E+00 0.000000E+00 0.000000E+00 0.000000E+00 7.900000E-01 9.843093E-08 2.099999E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 8.823200E-02 9.766891E-03 7.340676E+02 1.159062E+02 2.721929E+00 0.000000E+00 0.000000E+00 5.149732E-10 7.899945E-01 1.093017E-05 2.099945E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 8.658569E-02 8.133552E-03 9.008376E+02 1.475148E+02 3.209850E+00 0.000000E+00 0.000000E+00 2.200834E-09 7.899804E-01 3.921840E-05 2.099804E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 8.493937E-02 6.504734E-03 1.069842E+03 1.791081E+02 3.680054E+00 0.000000E+00 3.359228E-13 1.556888E-06 7.899505E-01 9.780983E-05 2.099502E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 8.329306E-02 5.491659E-03 1.332874E+03 2.026256E+02 3.463890E+00 0.000000E+00 1.677854E-11 6.845444E-05 7.893086E-01 1.328736E-03 2.092942E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 8.164674E-02 4.497199E-03 1.595955E+03 2.259012E+02 3.250246E+00 0.000000E+00 3.641245E-11 1.437113E-04 7.886350E-01 2.616570E-03 2.086048E-01 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
 8.000042E-02 3.804503E-03 1.851271E+03 2.447753E+02 2.919778E+00 9.696829E-11 6.639844E-08 4.253330E-03 7.852552E-01 6.129409E-03 2.043620E-01 0.000000E+00 9.696829E-11 0.000000E+00 0.000000E+00 0.000000E+00
 7.835411E-02 3.363997E-03 2.097527E+03 2.600524E+02 2.522443E+00 2.871896E-10 1.957739E-07 1.177674E-02 7.796680E-01 1.136012E-02 1.971950E-01 0.000000E+00 2.871896E-10 0.000000E+00 0.000000E+00 0.000000E+00
